jmeno,mesto,telefon,email,web,cilova_skupina,forma,styl_terapie,zdroj
"Bantianidu Kristina, Ing.",,,,https://www.psychoterapeuti.cz/adresar-psychoterapeutu/kristina-bantianidu-ing,,,,ČPtS
"Beer Jan, PhDr.",,,,https://www.psychoterapeuti.cz/adresar-psychoterapeutu/jan-beer-phdr,,,,ČPtS
Benda Rene Mgr,,,,https://www.psychoterapeuti.cz/adresar-psychoterapeutu/rene-benda-mgr,,,,ČPtS
Bobovníková Kateřina Mgr.,,,,https://www.psychoterapeuti.cz/adresar-psychoterapeutu/mgr-katerina-bobovnikova,,,,ČPtS
"Čechová Dominika, M.A.",,,,https://www.psychoterapeuti.cz/adresar-psychoterapeutu/dominika-cechova-m-a,,,,ČPtS
Černá Monika Mgr.,,,,https://www.psychoterapeuti.cz/adresar-psychoterapeutu/monika-cerna-mgr,,,,ČPtS
"Černý Martin, MUDr., Ph.D.",,,,https://www.psychoterapeuti.cz/adresar-psychoterapeutu/mudr-martin-cerny-ph-d,,,,ČPtS
Doležal David Mgr.,,,,https://www.psychoterapeuti.cz/adresar-psychoterapeutu/david-dolezal-mgr,,,,ČPtS
"Farářová Adéla, Mgr., Ph.D.",,,,https://www.psychoterapeuti.cz/adresar-psychoterapeutu/adela-fararova-mgr-phd,,,,ČPtS
Frouzová Magdalena PhDr.,,,,https://www.psychoterapeuti.cz/adresar-psychoterapeutu/magdalena-frouzova-phdr,,,,ČPtS
Horecká Miroslava PhDr.,,,,https://www.psychoterapeuti.cz/adresar-psychoterapeutu/miroslava-horecka-phdr,,,,ČPtS
Hrdličková Barbora Mgr.,,,,https://www.psychoterapeuti.cz/adresar-psychoterapeutu/barbora-hrdlickova,,,,ČPtS
Hrunková Jana Mgr.,,,,https://www.psychoterapeuti.cz/adresar-psychoterapeutu/mgr-jana-hrunkova,,,,ČPtS
"Janečková Barbora, PhDr., Ph.D.",,,,https://www.psychoterapeuti.cz/adresar-psychoterapeutu/barbora-janeckova-phdr-ph-d,,,,ČPtS
Kuželková Helena MUDr.,,,,https://www.psychoterapeuti.cz/adresar-psychoterapeutu/helena-kuzelkova-mudr,,,,ČPtS
"Kuzníková Iva, Mgr., Ph.D.",,,,https://www.psychoterapeuti.cz/adresar-psychoterapeutu/iva-kuznikova-mgr-ph-d,,,,ČPtS
"Kyrianová Hana, Mgr.",,,,https://www.psychoterapeuti.cz/adresar-psychoterapeutu/mgr-hana-kyrianova,,,,ČPtS
Loja Radka Ing. Mgr.,,,,https://www.psychoterapeuti.cz/adresar-psychoterapeutu/ing-mgr-radka-loja,,,,ČPtS
Mačasová Helena PhDr.,,,,https://www.psychoterapeuti.cz/adresar-psychoterapeutu/phdr-helena-macasova,,,,ČPtS
"Maroušková Tereza, Mgr.",,,,https://www.psychoterapeuti.cz/adresar-psychoterapeutu/tereza-marouskova-mgr,,,,ČPtS
Matuška František MUDr.,,,,https://www.psychoterapeuti.cz/adresar-psychoterapeutu/mudr-frantisek-matuska,,,,ČPtS
Navarová Sylvie PhDr.,,,,https://www.psychoterapeuti.cz/adresar-psychoterapeutu/sylvie-navarova-phdr,,,,ČPtS
"Parma Petr, PaedDr. Mgr. MSc.",,,,https://www.psychoterapeuti.cz/adresar-psychoterapeutu/petr-parma-paeddr-mgr-msc,,,,ČPtS
"Pavelcová Zuzana, Mgr.",,,,https://www.psychoterapeuti.cz/adresar-psychoterapeutu/zuzana-pavelcova-mgr,,,,ČPtS
"Pavlíčková Jaroslava, PhDr.",,,,https://www.psychoterapeuti.cz/adresar-psychoterapeutu/jaroslava-pavlickova-phdr,,,,ČPtS
"Pöslová Blanka, PhDr.",,,,https://www.psychoterapeuti.cz/adresar-psychoterapeutu/blanka-poeslova-phdr,,,,ČPtS
Sedmihradská Daniela Mgr.,,,,https://www.psychoterapeuti.cz/adresar-psychoterapeutu/daniela-sedmihradska-mgr,,,,ČPtS
"Špaňhelová Ilona, PhDr.",,,,https://www.psychoterapeuti.cz/adresar-psychoterapeutu/ilona-spanhelova-phdr,,,,ČPtS
"Telerovský Roman, Mgr.",,,,https://www.psychoterapeuti.cz/adresar-psychoterapeutu/roman-telerovsky-mgr,,,,ČPtS
"Vačkářová Zuzana, Mgr.",,,,https://www.psychoterapeuti.cz/adresar-psychoterapeutu/zuzana-vackarova-mgr,,,,ČPtS
Vasko Michaela PhDr.,,,,https://www.psychoterapeuti.cz/adresar-psychoterapeutu/phdr-michaela-vasko,,,,ČPtS
"Žaludek Adam, MUDr. Mgr. Ing., Ph.D., MBA, LL.M.",,,,https://www.psychoterapeuti.cz/adresar-psychoterapeutu/mudr-mgr-ing-adam-zaludek-ph-d-mba-ll-m,,,,ČPtS
